ElectricityUSA,Percentage
Natural gas,33.8
Coal,30.4
Nuclear,19.7
Hydropower,6.5
Wind,5.6
Biomass,1.5
Solar,0.9
Geothermal,0.4
Petroleum,0.6
Other gases,0.3
Other nonrenewable sources,0.3
