States,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711
US-AK,58.615,77.587,76.351,48.312,51.169,47.746,76.143,96.767,88.44,55,44.701,46.362,73.535,62.979,69.634,62.589,69.528,50.947,62.782,65.565,75.873,78.666,71.985,79.308,79.887,71.222,74.896,62.973,67.243,55.329,50.434,51.025,68.03,73.838,75.482,84.597,86.66381,78.74821,80.24088,67.72096,63.57195,63.38592,56.32125,64.86815,65.21972,74.53958,82.32134,77.71522,85.42631,76.49593,78.90064,68.53282,63.33867,59.75406,68.05589,68.04273,63.31448,70.81947,79.7328,82.61321,90.21311,75.9523,82.09304,68.74874,63.81042,55.19495,64.93055,64.4434,63.0616,70.47432,82.646,84.37358,86.992,79.32,90.131,72.756,68.376,45.904,58.416,60.346,68.863,74.816,83.725,91.432,95.822,83.739,82.459,73.473,71.593,69.81,67.553,64.839,68.134,80.662,80.998,89.157,89.27,83.453,85.293,63.557,66.366,60.735,65.665,66.793,69.207,82.395,88.691,92.975,93.834,83.121,89.176,61.326,54.834,60.232,56.436,62.994,69.518,78.589,84.856,96.01,87.915,84.575,85.269,75.937,66.325,66.687,78.069,74.381,73.624,75.132,94.473,96.545,102.946,87.392,91.896,79.125,69.149,64.375,65.609,72.072,77.237,77.451,95.031,95.755,92.393,85.928,87.119,62.412,59.151,69.657,70.232,71.856,74.747,78.612,84.365,89.029,89.494,84.569,84.93,77.811,67.641,62.151,59.933,59.826,64.736,68.582,78.152,87.734,90.517,78.16,80.587,56.287,70.592,68.049,70.395,72.688,82.645,92.149,91.753,111.522,96.745,101.763,83.115,57.269,57.757,62.764,61.281,67.721,57.074,73.344,75.279,85.463,77.017,67.979,68.211,61.296,61.795,,,75.553,69.481,73.875,75.787
US-AL,3075.601,2729.104,2731.773,2235.792,2843.328,3037.746,3429.376,3485.621,2998.429,2840.342,2585.499,2548.585,2551.963,2190.279,2115.955,2307.966,2586.46,3142.803,3482.434,3397.931,3176.137,3143.123,2961.607,2903.103,2998.221,2712.283,2610.348,2434.408,2947.497,3306.373,3476.52,3534.634,3273.24,2981.174,2883.338,2927.123,2780.50319,2458.34136,2518.86761,2259.37943,3131.39931,3327.43699,3561.62142,3422.00767,2936.15564,3163.04455,2921.57749,3088.3583,3278.14467,2732.2532,3011.01859,2591.96198,2908.60412,3245.80959,3360.79166,3509.48141,3380.15445,3159.03673,3022.67123,3302.26237,2856.07539,2728.44887,2823.88774,2794.43624,3213.9675,3347.06331,3397.16004,3561.44015,3283.79417,3118.64563,3151.46667,3407.20329,3038.22,2850.1,3034.337,3006.892,3414.199,3458.232,3584.888,3478.739,3202.701,2897.979,2821.276,2974.883,2989.039,2688.077,2985.039,2969.018,3278.318,3284.957,3461.24,3239.677,3059.669,2753.973,2723.581,2881.673,2882.79,2432.341,2211.444,1867.042,2277.183,2355.917,2533.445,2674.839,2417.136,2210.582,1999.794,2201.905,2813.969,2518.634,2480.117,2323.696,2887.03,3055.985,3020.917,3017.292,2545.43,2088.851,2150.283,2543.194,2808.388,2260.432,2343.623,1839.754,2477.889,2933.588,3171.016,2926.457,2037.44,2092.138,1892.79,1790.601,1625.058,1229.583,1398.013,1566.815,1794.989,2247.177,2753.696,2555.095,2147.143,1985.269,2099.173,2007.488,1885.379,1631.534,1923.417,1999.935,2122.155,2183.53,2259.804,2457.162,2298.128,2129.26,1924.144,1996.215,2296.248,2147.185,1707.88,1632.48,2076.319,2298.95,2529.589,2460.908,2032.391,1661.167,1609.942,1716.717,1547.948,1622.235,1406.524,1378.447,1884.128,2227.243,2459.861,2270.355,2074.015,1597.145,1411.179,1337.127,1292.176,1195.12,1234.685,978.6,1227.136,1599.586,1926.987,1931.631,1751.457,1583.384,1396.902,1475.379,1345.854,1305.271,1281.561,1139.964,1317.232,1498.655,1867.044,1694.332,1119.92,1253.803,1076.461
US-AR,1319.773,1015.515,887.987,983.179,1190.28,1447.546,1501.581,1444.67,1449.639,1335.061,1173.694,1526.963,1409.594,1121.864,663.325,1305.377,991.108,1116.531,1225.475,1449.207,1386.937,1269.153,1307.541,1150.009,1089.85,994.664,882.425,793.523,984.793,1377.225,1428.798,1359.785,1442.631,1247.299,1405.901,1440.081,1475.343,1190.447,1001.568,885.379,1109.74,1457.504,1545.582,1472.621,1447.717,1119.66,1295.433,1501.774,1468.806,1291.255,979.683,902.045,1153.266,1280.813,1224.761,1259.897,1193.275,1239.329,1056.417,1140.631,1160.741,1144.577,1047.989,1030.534,1051.941,1456.296,1551.843,1510.573,1345.133,1194.724,932.731,1337.307,1586.051,1307.874,1147.958,1037.508,1303.381,1251.115,1454.059,1631.832,1426.734,1028.282,1064.503,1560.469,1556.927,1173.391,1138.852,976.157,1135.425,1218.265,1619.926,1595.964,1255.12,1212.222,1466.316,1499.877,1343.552,1058.973,924.948,973.715,1105.493,1400.156,1551.768,1513.969,1471.757,1156.042,1298.229,1321.705,1383.146,1234.595,1114.337,1274.933,1444.621,1487.329,1472.249,1540.523,1645.23,1065.953,1332.564,1690.882,1772.767,1480.297,1339.019,938.248,1414.109,1539.303,1705.784,1783.7,1452.283,1406.502,1252.987,1517.161,1646.071,1565.707,1384.851,958.252,1559.5,1593.035,1497.178,1602.565,1513.737,1086.092,1229.739,1521.101,1610.774,1434.495,1446.219,1356.768,1434.008,1690.795,1910.045,1961.381,1720.086,1317.6,1217.736,1788.471,1790.205,1751.706,1682.807,1407.833,1663.601,1715.819,1724.981,1843.133,1609.279,1478.794,1434.082,1266.184,955.787,1241.789,921.222,753.955,1145.317,1351.572,1572.717,1360.27,1327.669,920.027,687.955,655.953,1132.275,953.252,749.612,709.475,566.899,1176.731,1593.342,1555.825,1711.671,1349.923,900.099,1737.7,1817.77,1108.348,740.674,943.156,949.237,1329.618,1646.445,1738.473,1389.58,1023.745,1113.108
US-AZ,1772.881,1503.991,1487.809,1791.998,1820.466,1755.309,1824.521,1825.286,1652.326,1809.682,1627.524,1613.222,1683.735,1390.734,1508.804,1569.18,1660.649,1625.774,1748.651,1620.127,1620.805,1598.254,1770.858,1816.555,1727.379,1444.985,1364.228,1428.431,1568.966,1682.736,1888.314,1773.215,1708.522,1688.809,1661.391,1796.796,1866.904,1483.699,1598.11,1580.568,1663.899,1787.335,1844.053,1845.386,1749.276,1653.631,1537.339,1853.47,1771.642,1288.038,1462.526,1636.715,1733.512,1764.661,1948.691,1861.322,1784.271,1855.455,1693.083,1901.959,1762.566,1523.142,1730.377,1575.46,1722.191,1759.549,1900.963,1955.205,1864.385,1709.367,1716.92,1694.452,1781.024,1584.009,1877.438,1700.68,1834.924,1887.297,1877.427,1997.996,1710.029,1660.091,1790.289,1887.702,1988.076,1638.135,1945.483,1805.613,1855.774,1944.229,2072.835,2133.139,2012.673,1963.376,1843.225,1842.064,1876.285,1578.546,1493.151,1329.959,1679.813,1756.57,1867.924,1953.806,1790.87,1809.032,1775.852,2147.974,2072.377,1653.045,1761.214,1633.045,2012.74,2018.217,2134.923,2079.845,2037.033,1906.63,2048.089,2107.661,2119.953,1738.111,1781.916,1680.894,1757.872,1933.96,2095.947,2251.092,2098.357,2027.317,2009.17,2085.608,2026.23,1720.546,1535.559,1478.047,1730.598,1835.791,1886.16,1953.705,1827.917,1926.077,1800.824,1983.605,2004.789,1512.039,1731.049,1873.207,2054.424,2021.238,2106.256,2117.905,2043.5,1968.045,1824.053,2041.34,2089.041,1610.916,1771.1,1611.836,1846.636,1975.134,2185.409,2189.497,2097.669,1949.904,1729.077,1854.787,1762.211,1245.603,1549.785,1377.18,1723.141,1838.892,2040.271,1894.551,1772.869,1709.335,1404.304,1494.225,1477.622,1084.257,936.603,920.381,1221.859,1495.157,1703.605,1768.237,1596.479,1583.122,1196.354,1655.643,1546.697,1337.849,1131.076,964.79,1196.379,1409.11,1784.377,1716.792,1560.244,1441.805,1491.117
US-CA,154.43,138.33,108.27,155.97,149.68,158.18,164.16,169.18,142.19,118.01,122.96,157.71,153.55,151.52,160.122,144.849,139.073,154.815,157.416,151.846,152.47,163.317,132.013,160.626,152.312,142.585,138.449,98.583,133.788,145.567,155.221,157.028,154.53,150.861,146.04,152.269,157.432,155.358,157.429,93.879,136.122,146.559,162.45,152.558,138.536,132.364,128.727,169.804,128.7,127.235,143.979,128.817,139.582,148.18,149.2,140.292,136.886,138.099,139.695,155.857,152.817,135.403,131.371,124.393,120.601,149.47,151.482,155.606,151.261,143.22,150.13,145.133,152.786,143.23,130.896,140.753,135.03,153.537,154.928,159.36,151.676,129.265,141.757,159.166,164.104,135.077,139.439,141.954,109.406,136.762,146.526,154.652,148.752,151.346,143.744,151.3,139.508,132.589,123.274,114.699,112.105,132.257,123.734,123.262,127.426,131.278,131.273,130.534,138.501,132.49,108.709,124.456,132.236,132.794,137.803,133.307,134.906,117.613,107.413,142.552,155.656,131.396,128.245,124.062,133.375,126.346,132.569,128.196,120.803,130.19,106.898,121.963,120.991,114.733,115.547,71.65,79.482,104.86,108.247,111.697,106.385,95.045,69.465,85.01,74.74,70.756,58.422,64.73,71.094,104.362,105.109,99.018,95.379,64.141,56.119,51.376,48.638,50.693,86.529,58.124,61.826,98.461,102.349,102.635,97.15,65.83,54.253,51.946,56.171,50.573,54.717,51.843,56.596,54.097,58.422,54.67,48.875,36.435,46.874,56.713,57.173,52.258,56.362,51.587,55.456,53.869,56.867,49.396,54.71,55.87,54.761,56.589,57.854,51.189,55.854,43.499,39.54,55.518,48.016,52.512,55.335,56.713,56.222
US-CO,1776.516,1567.25,1571.114,1496.346,1740.317,1685.645,1780.684,1787.45,1547.78,1454.896,1632.393,1724.582,1783.848,1487.936,1400.786,1464.532,1650.483,1655.261,1772.908,1703.716,1541.939,1650.752,1613.525,1720.354,1686.675,1492.629,1562.165,1530.457,1582.564,1624.57,1798.212,1787.036,1538.042,1606.047,1632.018,1755.42,1738.37575,1647.91081,1622.14939,1446.38922,1552.56161,1560.35669,1674.25977,1734.89549,1554.74877,1515.45274,1483.13515,1720.97364,1662.3095,1510.06542,1717.52067,1426.96478,1605.52496,1617.21208,1646.03623,1741.58975,1508.27571,1361.42726,1485.73202,1730.45865,1631.41918,1386.31733,1614.91521,1525.85952,1693.36812,1730.46763,1793.5832,1701.89256,1654.6269,1547.18402,1683.76475,1743.61057,1800.787,1619.537,1622.064,1522.549,1618.414,1628.412,1750.031,1735.32,1391.446,1516.237,1578.099,1749.959,1757.312,1663.437,1513.477,1339.425,1509.06,1623.505,1762.62,1762.794,1463.437,1382.796,1472.541,1711.422,1590.882,1286.169,1328.776,1092.752,1296.242,1374.203,1585.846,1637.816,1421.367,1561.265,1521.901,1654.061,1677.47,1516.192,1414.251,1371.919,1339.893,1442.826,1815.121,1914.068,1627.296,1469.758,1593.33,1796.857,1798.125,1618.632,1570.22,1155.898,1271.511,1403.354,1730.229,1977.5,1630.252,1524.553,1444.55,1619.243,1579.096,1557.348,1505.414,1351.373,1376.921,1682.262,1906.505,1753.841,1534.879,1695.051,1538.707,1781.761,1743.048,1534.25,1482.092,1478.028,1538.162,1525.73,1721.589,1798.895,1353.965,1452.463,1560.909,1692.692,1765.869,1639.363,1308.584,1307.446,1343.709,1448.132,1816.451,1780.011,1427.877,1302.732,1298.619,1505.462,1596.847,1481.392,1475.969,1277.678,1415.091,1579.953,1671.873,1690.263,1425.01,1175.346,1218.225,1592.714,1541.626,1223.887,1172.177,1060.719,1204.337,1462.299,1651.366,1612.713,1346.975,1353.554,1435.762,1656.735,1599.439,1375.815,1362.621,1046.518,1293.707,1499.351,1634.011,1500.399,1343.317,1262.905,1373.154
US-CT,137.9,148.89,160.45,128.06,131.15,142.56,146.32,147.98,125.23,72.51,138.29,143.99,151.103,140.838,125.004,134.594,103.955,134.261,166.261,102.111,57.529,61.077,143.394,187.753,188.391,174.183,166.126,168.886,172.624,183.01,161.682,189.919,172.896,193.657,87.984,192.054,201.136,175.337,193.153,156.124,179.248,176.875,195.602,197.177,151.229,113.287,186.792,206.501,203.374,182.528,169.786,162.712,197.349,167.093,199.083,198.789,138.539,88.941,150.056,211.934,200.91,186.803,209.458,144.719,200.906,202.171,188.738,209.511,190.294,117.517,183.375,210.428,209.905,193.651,185.14,161.775,175.487,186.783,193.55,194.955,166.236,54.13,58.043,155.945,199.746,188.472,192.613,138.774,165.054,191.033,196.448,198.982,200.913,195.54,173.919,179.568,167.187,153.693,87.754,56.892,58.883,59.112,69.555,103.253,56.982,122.081,74.744,185.963,185.336,120.77,51.262,72.341,85.903,141.706,175.342,173.147,88.09,62.693,50.605,158.471,115.828,38.911,,,,35.122,96.676,38.935,,,,,47.825,28.53,27.33,21.876,31.278,35.441,42.532,41.825,28.656,28.414,32.228,49.092,72.822,114.918,3.894,,,15.254,55.524,,5.75,,28.423,121.983,100.065,128.373,132.482,22.602,,2.724,33.452,,,,70.565,9.056,119.533,125.94,90.526,2.585,,,11.415,,2.143,6.58,,,28.273,10.119,,,,,8.119,10.209,16.314,,0.607,54.662,25.717,,28.163,,2.911,5.663,7.432,,3.113,,
US-DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-DE,210.094,186.791,203.441,152.532,126.706,119.64,151.78,170.79,56.46,55.01,50.87,56.75,68.857,60.284,127.175,135.608,132.993,143.221,175.955,181.985,138.405,157.684,120.879,159.975,184.7,188.041,210.543,146.71,90.545,106.323,195.662,214.102,176.663,80.464,102.131,112.987,225.48295,187.49705,186.78995,194.41338,154.75304,162.99388,234.93975,176.15195,195.41806,97.56279,117.86151,238.09869,229.0118,174.12648,223.06099,118.00814,92.1657,195.11371,210.44639,282.87625,228.34436,183.86802,160.52616,227.16101,178.27596,216.16235,203.68249,171.15886,157.49012,197.71761,236.21759,251.50169,88.16919,187.79318,196.743,206.04899,168.14,231.746,185.719,145.549,138.19,241.398,261.963,272.721,208.663,214.3,249.055,247.762,269.05,245.349,234.343,154.269,159.376,218.92,246.961,171.573,166.51,140.783,233.316,234.093,240.996,136.874,101.631,95.056,19.329,79.16,100.735,149.274,59.79,130.441,82.851,177.185,216.356,152.833,50.112,36.821,68.425,166.946,155.669,113.665,79.027,65.478,45.218,79.315,112.339,45.508,43.326,60.378,73.817,90.431,106.509,83.376,29.461,23.379,24.678,23.745,26.974,30.492,17.878,33.733,71.778,71.679,98.647,71.695,68.658,65.002,78.439,46.79,41.897,29.204,46.331,48.473,51.882,77.852,95.829,71.726,57.755,67.192,64.616,55.497,73.645,90.399,57.227,42.299,46.081,24.843,27.182,,28.892,,,6.545,50.402,83.931,23.292,,18.212,17.558,21.225,33.804,15.135,,10.674,1.987,59.819,39.556,,,2.94,3.377,52.542,51.195,10.955,,,6.544,8.093,7.427,12.595,4.837,6.761,6.028,55.063,13.291,17.756,3.67,20.147
